Date,headline,sentiment_score
2014-10-27,Market closes with mixed results today,0.0
2013-12-27,Market closes with mixed results today,0.0
2011-06-01,Economic downturn leads to massive sell-off,0.1
2010-01-18,Company X posts record-breaking revenue growth,0.0
2010-12-14,Company X posts record-breaking revenue growth,0.0
2011-04-07,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-01,Investors confident as economy shows strong recovery,0.4666666666666667
2013-11-13,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-10-31,Economic downturn leads to massive sell-off,0.1
2013-10-23,Market crashes due to inflation concerns,-0.125
2013-09-14,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-01-01,Analysts predict stable growth next quarter,0.0
2012-08-29,Stock trading volume remains steady this week,0.16666666666666666
2010-10-09,Investors confident as economy shows strong recovery,0.4666666666666667
2011-06-06,Company X posts record-breaking revenue growth,0.0
2014-05-02,Market closes with mixed results today,0.0
2012-05-23,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-10-29,Company X posts record-breaking revenue growth,0.0
2011-12-23,Company X posts record-breaking revenue growth,0.0
2014-04-10,Market crashes due to inflation concerns,-0.125
2011-08-08,Economic downturn leads to massive sell-off,0.1
2011-04-15,Investors confident as economy shows strong recovery,0.4666666666666667
2013-07-06,Company X posts record-breaking revenue growth,0.0
2010-04-08,Market crashes due to inflation concerns,-0.125
2015-04-01,Company X posts record-breaking revenue growth,0.0
2010-12-18,Company X posts record-breaking revenue growth,0.0
2010-10-14,Analysts predict stable growth next quarter,0.0
2014-09-28,Economic downturn leads to massive sell-off,0.1
2012-03-22,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-08-17,Investors confident as economy shows strong recovery,0.4666666666666667
2012-04-24,Investors confident as economy shows strong recovery,0.4666666666666667
2014-02-07,Stock market surges as tech giants report strong earnings,0.4333333333333333
2011-11-04,"Company Z faces bankruptcy, stock prices plummet",0.0
2013-02-13,Investors confident as economy shows strong recovery,0.4666666666666667
2011-07-29,"Company Z faces bankruptcy, stock prices plummet",0.0
2014-12-09,Stock trading volume remains steady this week,0.16666666666666666
2011-07-10,Economic downturn leads to massive sell-off,0.1
2013-02-08,Stock trading volume remains steady this week,0.16666666666666666
2010-08-11,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-07-03,Stock trading volume remains steady this week,0.16666666666666666
2014-06-23,Company X posts record-breaking revenue growth,0.0
2012-10-15,Investors confident as economy shows strong recovery,0.4666666666666667
2011-10-27,Investors confident as economy shows strong recovery,0.4666666666666667
2012-03-14,Investors confident as economy shows strong recovery,0.4666666666666667
2011-05-24,Investors confident as economy shows strong recovery,0.4666666666666667
2010-12-19,Stock market surges as tech giants report strong earnings,0.4333333333333333
2014-09-22,Investors confident as economy shows strong recovery,0.4666666666666667
2011-10-17,Investors confident as economy shows strong recovery,0.4666666666666667
2013-03-15,Stock market surges as tech giants report strong earnings,0.4333333333333333
2010-08-17,Market crashes due to inflation concerns,-0.125
2012-02-08,Stock market surges as tech giants report strong earnings,0.4333333333333333
2013-05-05,"Company Z faces bankruptcy, stock prices plummet",0.0
2011-04-03,Investors confident as economy shows strong recovery,0.4666666666666667
2010-04-15,Market closes with mixed results today,0.0
2015-05-27,Analysts predict stable growth next quarter,0.0
2012-03-14,Company X posts record-breaking revenue growth,0.0
2013-02-04,Economic downturn leads to massive sell-off,0.1
2012-07-06,Market crashes due to inflation concerns,-0.125
2011-02-10,Market closes with mixed results today,0.0
2015-04-30,Stock market surges as tech giants report strong earnings,0.4333333333333333
2012-11-25,"Company Z faces bankruptcy, stock prices plummet",0.0
2010-05-12,Stock trading volume remains steady this week,0.16666666666666666
